,Win Rate,Pick Rate,Ban Rate
Zacian,53.24,11.36,3.17
Urshifu,52.92,15.81,8.08
Armarouge,52.76,40.23,56.58
Charizard,52.66,25.83,73.77
Gyarados,52.47,18.53,5.14
Garchomp,52.32,8.44,0.14
Miraidon,52.15,12.28,5.01
Eldegoss,51.77,27.37,0.27
Ho-Oh,51.71,19.96,36.11
Dodrio,51.47,7.11,0.76
Tyranitar,51.17,4.59,0.74
Tsareena,51.04,11.74,2.08
Mr. Mime,51.0,8.44,0.34
Hoopa,50.99,12.03,1.13
Ceruledge,50.96,31.04,56.74
Trevenant,50.94,22.45,1.62
Pikachu,50.9,44.19,56.44
Cramorant,50.83,8.16,0.18
Crustle,50.79,16.01,3.57
Umbreon,50.68,40.98,3.64
Greninja,50.58,32.03,1.65
Blaziken,50.33,20.77,3.12
Wigglytuff,50.26,12.5,1.56
Duraludon,50.14,2.78,0.19
Blissey,50.11,24.37,0.44
Dragonite,49.92,11.2,0.48
Delphox,49.89,18.1,1.07
Dragapult,49.79,7.59,0.59
Gardevoir,49.79,12.78,0.31
Mamoswine,49.69,30.12,1.38
Absol,49.67,19.71,2.11
MewtwoX,49.61,5.75,0.21
Mimikyu,49.55,21.26,16.39
Machamp,49.51,6.87,0.28
Leafeon,49.5,15.78,5.3
Venusaur,49.48,23.19,0.89
Gengar,49.42,12.3,5.36
Slowbro,49.38,29.11,4.58
Metagross,49.2,6.37,0.36
Lucario,49.06,9.76,0.18
Snorlax,48.81,10.02,0.15
Meowscarada,48.8,8.74,0.89
Zeraora,48.66,13.31,0.41
Talonflame,48.6,15.96,0.54
Falinks,48.59,1.77,0.2
Decidueye,48.48,20.12,0.75
Comfey,48.39,13.85,2.66
Chandelure,48.36,5.66,0.1
Lapras,48.18,3.23,0.14
Mew,48.15,7.14,0.26
Azumarill,48.12,7.54,0.36
Goodra,48.1,7.15,0.59
Cinderace,48.09,15.45,0.34
MewtwoY,47.96,3.69,0.36
Clefable,47.87,14.55,1.88
Sylveon,47.7,16.56,0.43
Inteleon,47.7,10.04,0.3
Zoroark,47.69,7.14,1.02
Aegislash,47.63,8.68,0.21
Greedent,47.63,2.51,0.25
Scizor,47.58,11.67,1.78
Sableye,47.55,8.67,1.77
Blastoise,47.49,9.77,0.31
Espeon,47.03,13.83,0.18
Alolan Ninetales,46.85,8.94,0.44
Buzzwole,46.07,12.72,2.8
Glaceon,45.86,7.5,0.34
